Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career,combined_text
Master's,Finance,"Counseling, Marketing, Communication",,79,Research Scientist,
Intermediate,Engineering,"MS Office, Counseling, Data Analysis",Google Data Analytics,88,ML Engineer,"Intermediate Engineering MS Office, Counseling, Data Analysis Google Data Analytics"
Bachelor's,Psychology,"Financial Analysis, SQL, Accounting",Mental Health Basics,60,Software Engineer,"Bachelor's Psychology Financial Analysis, SQL, Accounting Mental Health Basics"
Master's,Business,"Machine Learning, Accounting",Tally ERP,70,ML Engineer,"Master's Business Machine Learning, Accounting Tally ERP"
Matric,Science,"Data Analysis, Python",AWS Certified,62,Research Scientist,"Matric Science Data Analysis, Python AWS Certified"
Intermediate,Finance,Communication,AWS Certified,81,Software Engineer,Intermediate Finance Communication AWS Certified
Matric,Psychology,"SQL, MS Office",Mental Health Basics,74,Business Analyst,"Matric Psychology SQL, MS Office Mental Health Basics"
PhD,Engineering,"Marketing, SQL, Communication",Mental Health Basics,63,Business Analyst,"PhD Engineering Marketing, SQL, Communication Mental Health Basics"
Bachelor's,Psychology,Accounting,Google Data Analytics,67,Business Analyst,Bachelor's Psychology Accounting Google Data Analytics
PhD,Commerce,"Machine Learning, Python",Digital Marketing,72,Business Analyst,"PhD Commerce Machine Learning, Python Digital Marketing"
Matric,Business,"Python, Accounting, Communication",Tally ERP,87,Software Engineer,"Matric Business Python, Accounting, Communication Tally ERP"
PhD,Business,"Counseling, Python",,93,Software Engineer,
PhD,Arts,"MS Office, Marketing",Mental Health Basics,75,Business Analyst,"PhD Arts MS Office, Marketing Mental Health Basics"
Bachelor's,Science,"Financial Analysis, Machine Learning, MS Office",,91,Software Engineer,
Intermediate,Business,Machine Learning,AWS Certified,94,Business Analyst,Intermediate Business Machine Learning AWS Certified
Intermediate,Psychology,Counseling,Google Data Analytics,93,Business Analyst,Intermediate Psychology Counseling Google Data Analytics
PhD,Business,"Accounting, Marketing, Financial Analysis",Tally ERP,90,Software Engineer,"PhD Business Accounting, Marketing, Financial Analysis Tally ERP"
Matric,Arts,"Marketing, SQL, Financial Analysis",CFA Level 1,66,Research Scientist,"Matric Arts Marketing, SQL, Financial Analysis CFA Level 1"
Matric,Arts,Python,Digital Marketing,64,ML Engineer,Matric Arts Python Digital Marketing
Master's,Arts,"Machine Learning, Marketing, Accounting",AWS Certified,77,ML Engineer,"Master's Arts Machine Learning, Marketing, Accounting AWS Certified"
PhD,Psychology,"SQL, MS Office",Digital Marketing,83,Software Engineer,"PhD Psychology SQL, MS Office Digital Marketing"
Bachelor's,Business,"Communication, Marketing",CFA Level 1,82,Business Analyst,"Bachelor's Business Communication, Marketing CFA Level 1"
Matric,Finance,"Accounting, MS Office",Digital Marketing,81,Business Analyst,"Matric Finance Accounting, MS Office Digital Marketing"
Master's,Computer Science,Python,Google Data Analytics,85,Software Engineer,Master's Computer Science Python Google Data Analytics
Bachelor's,Business,Communication,AWS Certified,70,Software Engineer,Bachelor's Business Communication AWS Certified
Matric,Business,Python,Google Data Analytics,60,Software Engineer,Matric Business Python Google Data Analytics
Intermediate,Business,"Financial Analysis, SQL",Tally ERP,83,Software Engineer,"Intermediate Business Financial Analysis, SQL Tally ERP"
Master's,Finance,Python,Digital Marketing,82,ML Engineer,Master's Finance Python Digital Marketing
Matric,Finance,"Communication, Marketing",Digital Marketing,80,Research Scientist,"Matric Finance Communication, Marketing Digital Marketing"
Master's,Science,"Python, Counseling",,62,Business Analyst,
Master's,Computer Science,"Machine Learning, SQL",Mental Health Basics,86,ML Engineer,"Master's Computer Science Machine Learning, SQL Mental Health Basics"
Intermediate,Business,"MS Office, Python",Digital Marketing,93,Business Analyst,"Intermediate Business MS Office, Python Digital Marketing"
Intermediate,Commerce,SQL,Tally ERP,60,ML Engineer,Intermediate Commerce SQL Tally ERP
Master's,Finance,Communication,Mental Health Basics,91,Software Engineer,Master's Finance Communication Mental Health Basics
Master's,Psychology,"Marketing, Communication",Tally ERP,80,Research Scientist,"Master's Psychology Marketing, Communication Tally ERP"
Bachelor's,Engineering,"MS Office, Marketing, Python",Digital Marketing,78,Software Engineer,"Bachelor's Engineering MS Office, Marketing, Python Digital Marketing"
Master's,Psychology,"Python, Marketing, Communication",Google Data Analytics,80,ML Engineer,"Master's Psychology Python, Marketing, Communication Google Data Analytics"
Intermediate,Engineering,"SQL, Counseling, Communication",Digital Marketing,82,Research Scientist,"Intermediate Engineering SQL, Counseling, Communication Digital Marketing"
Bachelor's,Finance,"SQL, Financial Analysis, Marketing",Digital Marketing,75,Business Analyst,"Bachelor's Finance SQL, Financial Analysis, Marketing Digital Marketing"
PhD,Psychology,Financial Analysis,Tally ERP,81,Business Analyst,PhD Psychology Financial Analysis Tally ERP
PhD,Science,"MS Office, Marketing",Digital Marketing,81,Software Engineer,"PhD Science MS Office, Marketing Digital Marketing"
Bachelor's,Engineering,"Python, Marketing",Mental Health Basics,86,Software Engineer,"Bachelor's Engineering Python, Marketing Mental Health Basics"
PhD,Commerce,"Counseling, Data Analysis",Mental Health Basics,92,Business Analyst,"PhD Commerce Counseling, Data Analysis Mental Health Basics"
Master's,Finance,Data Analysis,Creative Writing,68,Research Scientist,Master's Finance Data Analysis Creative Writing
Intermediate,Finance,"Counseling, Python",AWS Certified,76,Business Analyst,"Intermediate Finance Counseling, Python AWS Certified"
Master's,Commerce,"Counseling, Python, Marketing",Tally ERP,95,ML Engineer,"Master's Commerce Counseling, Python, Marketing Tally ERP"
Bachelor's,Business,Financial Analysis,Creative Writing,74,Software Engineer,Bachelor's Business Financial Analysis Creative Writing
Master's,Engineering,"Marketing, Python, Machine Learning",Creative Writing,72,Research Scientist,"Master's Engineering Marketing, Python, Machine Learning Creative Writing"
Intermediate,Science,"Machine Learning, Python, Marketing",Tally ERP,85,ML Engineer,"Intermediate Science Machine Learning, Python, Marketing Tally ERP"
Matric,Business,"Communication, Financial Analysis, SQL",Tally ERP,66,Software Engineer,"Matric Business Communication, Financial Analysis, SQL Tally ERP"
Bachelor's,Engineering,"Data Analysis, Marketing",Digital Marketing,80,Business Analyst,"Bachelor's Engineering Data Analysis, Marketing Digital Marketing"
Matric,Science,MS Office,,71,Research Scientist,
Matric,Psychology,"Financial Analysis, Data Analysis",Digital Marketing,69,ML Engineer,"Matric Psychology Financial Analysis, Data Analysis Digital Marketing"
Matric,Arts,Data Analysis,Mental Health Basics,69,Research Scientist,Matric Arts Data Analysis Mental Health Basics
PhD,Science,"SQL, Communication, Machine Learning",Google Data Analytics,63,Research Scientist,"PhD Science SQL, Communication, Machine Learning Google Data Analytics"
PhD,Engineering,Data Analysis,,79,Business Analyst,
Intermediate,Psychology,"Machine Learning, Communication",Digital Marketing,89,ML Engineer,"Intermediate Psychology Machine Learning, Communication Digital Marketing"
PhD,Business,"SQL, MS Office, Financial Analysis",Mental Health Basics,82,Business Analyst,"PhD Business SQL, MS Office, Financial Analysis Mental Health Basics"
Bachelor's,Business,SQL,Google Data Analytics,71,ML Engineer,Bachelor's Business SQL Google Data Analytics
Intermediate,Business,Marketing,Mental Health Basics,68,Business Analyst,Intermediate Business Marketing Mental Health Basics
Intermediate,Computer Science,MS Office,Tally ERP,61,ML Engineer,Intermediate Computer Science MS Office Tally ERP
Matric,Computer Science,"SQL, Marketing, Counseling",Creative Writing,72,Business Analyst,"Matric Computer Science SQL, Marketing, Counseling Creative Writing"
Master's,Business,Machine Learning,Google Data Analytics,61,Business Analyst,Master's Business Machine Learning Google Data Analytics
Intermediate,Psychology,"Financial Analysis, Counseling",Digital Marketing,80,ML Engineer,"Intermediate Psychology Financial Analysis, Counseling Digital Marketing"
Intermediate,Arts,"Communication, Python, Machine Learning",CFA Level 1,79,Business Analyst,"Intermediate Arts Communication, Python, Machine Learning CFA Level 1"
Matric,Arts,"Machine Learning, Python",Tally ERP,85,Business Analyst,"Matric Arts Machine Learning, Python Tally ERP"
Master's,Engineering,"SQL, Accounting",AWS Certified,78,Research Scientist,"Master's Engineering SQL, Accounting AWS Certified"
PhD,Science,Marketing,,77,Research Scientist,
Matric,Finance,"Financial Analysis, Accounting, Counseling",Tally ERP,84,Software Engineer,"Matric Finance Financial Analysis, Accounting, Counseling Tally ERP"
Matric,Psychology,Counseling,Creative Writing,61,ML Engineer,Matric Psychology Counseling Creative Writing
Master's,Science,Data Analysis,Tally ERP,70,ML Engineer,Master's Science Data Analysis Tally ERP
PhD,Psychology,"Marketing, Python, Communication",AWS Certified,83,Research Scientist,"PhD Psychology Marketing, Python, Communication AWS Certified"
PhD,Computer Science,"Machine Learning, Financial Analysis",CFA Level 1,94,ML Engineer,"PhD Computer Science Machine Learning, Financial Analysis CFA Level 1"
Bachelor's,Business,"MS Office, Financial Analysis, SQL",Mental Health Basics,89,Research Scientist,"Bachelor's Business MS Office, Financial Analysis, SQL Mental Health Basics"
Bachelor's,Finance,"Data Analysis, Marketing, Communication",Digital Marketing,83,Software Engineer,"Bachelor's Finance Data Analysis, Marketing, Communication Digital Marketing"
Matric,Business,"Machine Learning, Data Analysis",Creative Writing,62,Research Scientist,"Matric Business Machine Learning, Data Analysis Creative Writing"
PhD,Engineering,"Marketing, SQL",Mental Health Basics,62,Software Engineer,"PhD Engineering Marketing, SQL Mental Health Basics"
PhD,Commerce,Financial Analysis,Mental Health Basics,87,ML Engineer,PhD Commerce Financial Analysis Mental Health Basics
Bachelor's,Psychology,"SQL, Communication, Machine Learning",Mental Health Basics,63,Business Analyst,"Bachelor's Psychology SQL, Communication, Machine Learning Mental Health Basics"
Master's,Science,"Accounting, MS Office",Mental Health Basics,68,ML Engineer,"Master's Science Accounting, MS Office Mental Health Basics"
Master's,Computer Science,SQL,,63,Research Scientist,
Intermediate,Arts,Accounting,AWS Certified,75,ML Engineer,Intermediate Arts Accounting AWS Certified
Bachelor's,Psychology,"Communication, Data Analysis",Mental Health Basics,92,Business Analyst,"Bachelor's Psychology Communication, Data Analysis Mental Health Basics"
Intermediate,Science,"Counseling, Communication, Financial Analysis",Digital Marketing,86,ML Engineer,"Intermediate Science Counseling, Communication, Financial Analysis Digital Marketing"
Intermediate,Computer Science,"MS Office, Python, Counseling",Creative Writing,95,ML Engineer,"Intermediate Computer Science MS Office, Python, Counseling Creative Writing"
Master's,Arts,"Communication, Machine Learning",Google Data Analytics,84,Software Engineer,"Master's Arts Communication, Machine Learning Google Data Analytics"
Bachelor's,Psychology,"Accounting, Machine Learning, Financial Analysis",Mental Health Basics,62,Software Engineer,"Bachelor's Psychology Accounting, Machine Learning, Financial Analysis Mental Health Basics"
Intermediate,Business,Python,Mental Health Basics,68,ML Engineer,Intermediate Business Python Mental Health Basics
Bachelor's,Business,"Communication, Accounting",Tally ERP,68,Business Analyst,"Bachelor's Business Communication, Accounting Tally ERP"
Intermediate,Business,"Financial Analysis, Machine Learning, Marketing",AWS Certified,70,ML Engineer,"Intermediate Business Financial Analysis, Machine Learning, Marketing AWS Certified"
Matric,Business,"SQL, Data Analysis",Tally ERP,92,Software Engineer,"Matric Business SQL, Data Analysis Tally ERP"
Bachelor's,Finance,"Accounting, Data Analysis, MS Office",Creative Writing,73,Business Analyst,"Bachelor's Finance Accounting, Data Analysis, MS Office Creative Writing"
PhD,Computer Science,Communication,Tally ERP,91,Business Analyst,PhD Computer Science Communication Tally ERP
Bachelor's,Psychology,"Machine Learning, Accounting",Google Data Analytics,70,ML Engineer,"Bachelor's Psychology Machine Learning, Accounting Google Data Analytics"
Bachelor's,Computer Science,"MS Office, Accounting",Mental Health Basics,61,Software Engineer,"Bachelor's Computer Science MS Office, Accounting Mental Health Basics"
PhD,Science,Financial Analysis,CFA Level 1,76,Software Engineer,PhD Science Financial Analysis CFA Level 1
PhD,Finance,"Marketing, Python",Creative Writing,74,Software Engineer,"PhD Finance Marketing, Python Creative Writing"
Bachelor's,Psychology,"Python, Accounting",CFA Level 1,72,Business Analyst,"Bachelor's Psychology Python, Accounting CFA Level 1"
Bachelor's,Science,"MS Office, Python, Counseling",Digital Marketing,87,ML Engineer,"Bachelor's Science MS Office, Python, Counseling Digital Marketing"
PhD,Engineering,"Python, Marketing, Communication",Mental Health Basics,62,Software Engineer,"PhD Engineering Python, Marketing, Communication Mental Health Basics"
PhD,Finance,MS Office,Google Data Analytics,78,Business Analyst,PhD Finance MS Office Google Data Analytics
Matric,Business,"Counseling, Data Analysis",Mental Health Basics,93,Business Analyst,"Matric Business Counseling, Data Analysis Mental Health Basics"
Intermediate,Science,Financial Analysis,Creative Writing,85,ML Engineer,Intermediate Science Financial Analysis Creative Writing
Intermediate,Computer Science,"Machine Learning, Financial Analysis, Accounting",Mental Health Basics,92,ML Engineer,"Intermediate Computer Science Machine Learning, Financial Analysis, Accounting Mental Health Basics"
PhD,Engineering,"SQL, Python",CFA Level 1,83,ML Engineer,"PhD Engineering SQL, Python CFA Level 1"
Intermediate,Business,"Communication, SQL, Machine Learning",,71,ML Engineer,
Intermediate,Engineering,SQL,Digital Marketing,81,Software Engineer,Intermediate Engineering SQL Digital Marketing
Intermediate,Computer Science,"Python, Communication",CFA Level 1,70,Business Analyst,"Intermediate Computer Science Python, Communication CFA Level 1"
PhD,Computer Science,"Machine Learning, MS Office, Accounting",,72,Software Engineer,
PhD,Arts,"Financial Analysis, SQL, Machine Learning",,85,Business Analyst,
Intermediate,Finance,"SQL, Communication, MS Office",CFA Level 1,65,Research Scientist,"Intermediate Finance SQL, Communication, MS Office CFA Level 1"
Bachelor's,Psychology,Communication,Google Data Analytics,69,Research Scientist,Bachelor's Psychology Communication Google Data Analytics
PhD,Computer Science,Financial Analysis,Google Data Analytics,79,Business Analyst,PhD Computer Science Financial Analysis Google Data Analytics
Intermediate,Arts,"Python, Marketing, Machine Learning",Tally ERP,77,Software Engineer,"Intermediate Arts Python, Marketing, Machine Learning Tally ERP"
Master's,Psychology,"Communication, Marketing, Python",Mental Health Basics,92,ML Engineer,"Master's Psychology Communication, Marketing, Python Mental Health Basics"
PhD,Business,"Accounting, Marketing, Counseling",CFA Level 1,81,Research Scientist,"PhD Business Accounting, Marketing, Counseling CFA Level 1"
Matric,Computer Science,Machine Learning,,63,Software Engineer,
Matric,Arts,"Marketing, Accounting, SQL",Creative Writing,61,Research Scientist,"Matric Arts Marketing, Accounting, SQL Creative Writing"
Bachelor's,Psychology,SQL,Digital Marketing,61,Software Engineer,Bachelor's Psychology SQL Digital Marketing
PhD,Psychology,"SQL, Machine Learning, Financial Analysis",Mental Health Basics,94,ML Engineer,"PhD Psychology SQL, Machine Learning, Financial Analysis Mental Health Basics"
Master's,Business,"Financial Analysis, MS Office",Google Data Analytics,64,ML Engineer,"Master's Business Financial Analysis, MS Office Google Data Analytics"
Matric,Commerce,Financial Analysis,Tally ERP,77,Software Engineer,Matric Commerce Financial Analysis Tally ERP
Master's,Engineering,"SQL, Communication, Python",Digital Marketing,86,Research Scientist,"Master's Engineering SQL, Communication, Python Digital Marketing"
Matric,Business,"MS Office, Data Analysis, Marketing",Creative Writing,75,Research Scientist,"Matric Business MS Office, Data Analysis, Marketing Creative Writing"
Intermediate,Computer Science,"Counseling, MS Office, Accounting",Google Data Analytics,90,ML Engineer,"Intermediate Computer Science Counseling, MS Office, Accounting Google Data Analytics"
PhD,Business,"Counseling, Marketing, Python",Creative Writing,69,Software Engineer,"PhD Business Counseling, Marketing, Python Creative Writing"
PhD,Psychology,"Financial Analysis, Counseling",AWS Certified,78,Research Scientist,"PhD Psychology Financial Analysis, Counseling AWS Certified"
Matric,Commerce,"Marketing, Machine Learning",Google Data Analytics,95,Business Analyst,"Matric Commerce Marketing, Machine Learning Google Data Analytics"
PhD,Business,"Python, Accounting",AWS Certified,69,Software Engineer,"PhD Business Python, Accounting AWS Certified"
Bachelor's,Engineering,"Marketing, MS Office",AWS Certified,69,Software Engineer,"Bachelor's Engineering Marketing, MS Office AWS Certified"
Intermediate,Arts,Data Analysis,Digital Marketing,60,ML Engineer,Intermediate Arts Data Analysis Digital Marketing
Matric,Finance,"Marketing, MS Office, Counseling",,79,ML Engineer,
Bachelor's,Engineering,"Communication, Financial Analysis",Creative Writing,84,Research Scientist,"Bachelor's Engineering Communication, Financial Analysis Creative Writing"
Intermediate,Computer Science,"Financial Analysis, Accounting",AWS Certified,94,Software Engineer,"Intermediate Computer Science Financial Analysis, Accounting AWS Certified"
Intermediate,Science,"Communication, Financial Analysis, Data Analysis",Google Data Analytics,83,ML Engineer,"Intermediate Science Communication, Financial Analysis, Data Analysis Google Data Analytics"
Matric,Arts,Counseling,Google Data Analytics,92,Research Scientist,Matric Arts Counseling Google Data Analytics
Bachelor's,Psychology,"SQL, Accounting",AWS Certified,80,Research Scientist,"Bachelor's Psychology SQL, Accounting AWS Certified"
Bachelor's,Commerce,"Python, MS Office, Data Analysis",Google Data Analytics,87,Software Engineer,"Bachelor's Commerce Python, MS Office, Data Analysis Google Data Analytics"
Matric,Arts,"Counseling, Data Analysis, Machine Learning",Tally ERP,78,Business Analyst,"Matric Arts Counseling, Data Analysis, Machine Learning Tally ERP"
Bachelor's,Finance,"Counseling, MS Office",Mental Health Basics,87,Business Analyst,"Bachelor's Finance Counseling, MS Office Mental Health Basics"
Bachelor's,Commerce,"Machine Learning, Marketing, Accounting",Tally ERP,64,Software Engineer,"Bachelor's Commerce Machine Learning, Marketing, Accounting Tally ERP"
Master's,Computer Science,Accounting,CFA Level 1,84,Research Scientist,Master's Computer Science Accounting CFA Level 1
PhD,Commerce,Financial Analysis,Digital Marketing,86,Software Engineer,PhD Commerce Financial Analysis Digital Marketing
Intermediate,Psychology,Financial Analysis,Mental Health Basics,70,Business Analyst,Intermediate Psychology Financial Analysis Mental Health Basics
Bachelor's,Science,"Python, MS Office, Machine Learning",Tally ERP,79,Software Engineer,"Bachelor's Science Python, MS Office, Machine Learning Tally ERP"
Intermediate,Engineering,SQL,AWS Certified,70,Software Engineer,Intermediate Engineering SQL AWS Certified
Intermediate,Commerce,"Accounting, Machine Learning",,67,Business Analyst,
Master's,Science,MS Office,CFA Level 1,95,Business Analyst,Master's Science MS Office CFA Level 1
Matric,Finance,"Accounting, Marketing, Communication",Tally ERP,84,Business Analyst,"Matric Finance Accounting, Marketing, Communication Tally ERP"
Intermediate,Psychology,Counseling,Mental Health Basics,76,Research Scientist,Intermediate Psychology Counseling Mental Health Basics
PhD,Computer Science,Counseling,Google Data Analytics,61,Research Scientist,PhD Computer Science Counseling Google Data Analytics
PhD,Psychology,MS Office,CFA Level 1,79,ML Engineer,PhD Psychology MS Office CFA Level 1
Intermediate,Commerce,"Python, Counseling",Google Data Analytics,75,Research Scientist,"Intermediate Commerce Python, Counseling Google Data Analytics"
Matric,Computer Science,"Machine Learning, Counseling",Digital Marketing,76,Business Analyst,"Matric Computer Science Machine Learning, Counseling Digital Marketing"
Master's,Arts,Communication,,73,Business Analyst,
PhD,Commerce,"Data Analysis, Financial Analysis",,86,ML Engineer,
PhD,Arts,"Financial Analysis, Counseling, Machine Learning",CFA Level 1,70,Research Scientist,"PhD Arts Financial Analysis, Counseling, Machine Learning CFA Level 1"
Bachelor's,Computer Science,Accounting,Creative Writing,89,ML Engineer,Bachelor's Computer Science Accounting Creative Writing
Bachelor's,Commerce,"Financial Analysis, Marketing",Google Data Analytics,90,ML Engineer,"Bachelor's Commerce Financial Analysis, Marketing Google Data Analytics"
Intermediate,Arts,Machine Learning,Tally ERP,67,Software Engineer,Intermediate Arts Machine Learning Tally ERP
Intermediate,Business,"Communication, MS Office, SQL",AWS Certified,94,ML Engineer,"Intermediate Business Communication, MS Office, SQL AWS Certified"
Bachelor's,Commerce,"Financial Analysis, MS Office, SQL",Digital Marketing,66,Research Scientist,"Bachelor's Commerce Financial Analysis, MS Office, SQL Digital Marketing"
Bachelor's,Commerce,"Machine Learning, Data Analysis, SQL",Mental Health Basics,88,ML Engineer,"Bachelor's Commerce Machine Learning, Data Analysis, SQL Mental Health Basics"
Intermediate,Psychology,"Machine Learning, Counseling, Python",,68,Research Scientist,
Matric,Commerce,Accounting,AWS Certified,89,Software Engineer,Matric Commerce Accounting AWS Certified
Bachelor's,Science,Communication,,85,Business Analyst,
Matric,Computer Science,Financial Analysis,CFA Level 1,77,Research Scientist,Matric Computer Science Financial Analysis CFA Level 1
Master's,Engineering,SQL,,95,ML Engineer,
Matric,Engineering,"Counseling, MS Office",Mental Health Basics,64,Software Engineer,"Matric Engineering Counseling, MS Office Mental Health Basics"
Matric,Finance,"Accounting, Python",Tally ERP,82,Business Analyst,"Matric Finance Accounting, Python Tally ERP"
Bachelor's,Arts,"Data Analysis, Accounting",CFA Level 1,87,Business Analyst,"Bachelor's Arts Data Analysis, Accounting CFA Level 1"
Bachelor's,Computer Science,SQL,,93,Business Analyst,
Matric,Arts,"Financial Analysis, MS Office, Accounting",Google Data Analytics,69,ML Engineer,"Matric Arts Financial Analysis, MS Office, Accounting Google Data Analytics"
Intermediate,Finance,Machine Learning,CFA Level 1,67,Business Analyst,Intermediate Finance Machine Learning CFA Level 1
Matric,Business,"Financial Analysis, Communication, Machine Learning",Digital Marketing,95,Business Analyst,"Matric Business Financial Analysis, Communication, Machine Learning Digital Marketing"
Master's,Science,"Financial Analysis, SQL",,84,Research Scientist,
Bachelor's,Finance,"Machine Learning, Data Analysis",Digital Marketing,89,ML Engineer,"Bachelor's Finance Machine Learning, Data Analysis Digital Marketing"
Master's,Engineering,Financial Analysis,AWS Certified,86,ML Engineer,Master's Engineering Financial Analysis AWS Certified
PhD,Commerce,"Python, Communication, Accounting",Mental Health Basics,89,ML Engineer,"PhD Commerce Python, Communication, Accounting Mental Health Basics"
PhD,Science,Communication,Digital Marketing,92,Research Scientist,PhD Science Communication Digital Marketing
Master's,Science,"Python, MS Office",Google Data Analytics,89,Business Analyst,"Master's Science Python, MS Office Google Data Analytics"
Intermediate,Commerce,"Financial Analysis, Communication",Tally ERP,88,ML Engineer,"Intermediate Commerce Financial Analysis, Communication Tally ERP"
Master's,Psychology,Communication,Digital Marketing,87,ML Engineer,Master's Psychology Communication Digital Marketing
PhD,Business,Financial Analysis,AWS Certified,73,Business Analyst,PhD Business Financial Analysis AWS Certified
Matric,Business,"Marketing, Python",CFA Level 1,78,Software Engineer,"Matric Business Marketing, Python CFA Level 1"
Matric,Finance,"Marketing, Python",CFA Level 1,68,ML Engineer,"Matric Finance Marketing, Python CFA Level 1"
PhD,Computer Science,"Financial Analysis, SQL, Accounting",AWS Certified,70,Software Engineer,"PhD Computer Science Financial Analysis, SQL, Accounting AWS Certified"
Bachelor's,Business,Financial Analysis,CFA Level 1,76,Software Engineer,Bachelor's Business Financial Analysis CFA Level 1
PhD,Business,"Python, MS Office",Creative Writing,64,Business Analyst,"PhD Business Python, MS Office Creative Writing"
Intermediate,Engineering,"Accounting, Financial Analysis, Python",,93,Business Analyst,
Bachelor's,Commerce,Counseling,,68,Research Scientist,
Intermediate,Science,"Python, SQL, Counseling",Tally ERP,70,Business Analyst,"Intermediate Science Python, SQL, Counseling Tally ERP"
PhD,Commerce,Machine Learning,Digital Marketing,87,Software Engineer,PhD Commerce Machine Learning Digital Marketing
Intermediate,Engineering,"Machine Learning, Counseling, Data Analysis",Tally ERP,64,Software Engineer,"Intermediate Engineering Machine Learning, Counseling, Data Analysis Tally ERP"
Bachelor's,Finance,"Python, Accounting, Marketing",,77,Business Analyst,
Bachelor's,Engineering,"Data Analysis, Marketing, Machine Learning",Mental Health Basics,78,ML Engineer,"Bachelor's Engineering Data Analysis, Marketing, Machine Learning Mental Health Basics"
Master's,Engineering,"MS Office, SQL",AWS Certified,82,ML Engineer,"Master's Engineering MS Office, SQL AWS Certified"
Intermediate,Arts,"Data Analysis, Counseling, Financial Analysis",Mental Health Basics,88,Research Scientist,"Intermediate Arts Data Analysis, Counseling, Financial Analysis Mental Health Basics"
Matric,Commerce,Counseling,Tally ERP,76,ML Engineer,Matric Commerce Counseling Tally ERP
Bachelor's,Science,"Accounting, Counseling, MS Office",Creative Writing,84,ML Engineer,"Bachelor's Science Accounting, Counseling, MS Office Creative Writing"
PhD,Science,"MS Office, Counseling, Marketing",Digital Marketing,75,Software Engineer,"PhD Science MS Office, Counseling, Marketing Digital Marketing"
Matric,Arts,"Financial Analysis, Communication",Digital Marketing,62,Research Scientist,"Matric Arts Financial Analysis, Communication Digital Marketing"
PhD,Business,"SQL, Financial Analysis, Data Analysis",Mental Health Basics,89,Research Scientist,"PhD Business SQL, Financial Analysis, Data Analysis Mental Health Basics"
Matric,Arts,"SQL, Communication",AWS Certified,63,Research Scientist,"Matric Arts SQL, Communication AWS Certified"
Matric,Finance,"Communication, Data Analysis, Python",Digital Marketing,69,Software Engineer,"Matric Finance Communication, Data Analysis, Python Digital Marketing"
Matric,Psychology,"Marketing, Python, Accounting",CFA Level 1,65,ML Engineer,"Matric Psychology Marketing, Python, Accounting CFA Level 1"
Matric,Computer Science,SQL,Tally ERP,64,ML Engineer,Matric Computer Science SQL Tally ERP
Bachelor's,Engineering,"Machine Learning, Accounting, Financial Analysis",Mental Health Basics,73,Software Engineer,"Bachelor's Engineering Machine Learning, Accounting, Financial Analysis Mental Health Basics"
Matric,Computer Science,Marketing,Mental Health Basics,71,Business Analyst,Matric Computer Science Marketing Mental Health Basics
PhD,Arts,"Counseling, Accounting",Google Data Analytics,71,Research Scientist,"PhD Arts Counseling, Accounting Google Data Analytics"
Intermediate,Finance,Communication,AWS Certified,63,Research Scientist,Intermediate Finance Communication AWS Certified
PhD,Commerce,MS Office,Google Data Analytics,76,ML Engineer,PhD Commerce MS Office Google Data Analytics
Intermediate,Engineering,"Counseling, Python, Marketing",Mental Health Basics,94,Research Scientist,"Intermediate Engineering Counseling, Python, Marketing Mental Health Basics"
PhD,Business,Data Analysis,Google Data Analytics,82,Software Engineer,PhD Business Data Analysis Google Data Analytics
Matric,Science,Financial Analysis,AWS Certified,84,ML Engineer,Matric Science Financial Analysis AWS Certified
Bachelor's,Finance,"Counseling, Machine Learning, Data Analysis",Tally ERP,70,Software Engineer,"Bachelor's Finance Counseling, Machine Learning, Data Analysis Tally ERP"
Bachelor's,Psychology,Accounting,Digital Marketing,72,Business Analyst,Bachelor's Psychology Accounting Digital Marketing
Matric,Arts,Data Analysis,Creative Writing,82,ML Engineer,Matric Arts Data Analysis Creative Writing
Matric,Engineering,"Python, Accounting, Data Analysis",Google Data Analytics,81,Business Analyst,"Matric Engineering Python, Accounting, Data Analysis Google Data Analytics"
PhD,Psychology,"Financial Analysis, Communication",Tally ERP,84,Software Engineer,"PhD Psychology Financial Analysis, Communication Tally ERP"
Bachelor's,Psychology,"MS Office, Marketing",Google Data Analytics,65,Business Analyst,"Bachelor's Psychology MS Office, Marketing Google Data Analytics"
PhD,Arts,Marketing,Mental Health Basics,74,ML Engineer,PhD Arts Marketing Mental Health Basics
Matric,Engineering,"Financial Analysis, Communication, Python",,69,Research Scientist,
Master's,Engineering,Machine Learning,Creative Writing,87,Research Scientist,Master's Engineering Machine Learning Creative Writing
Bachelor's,Psychology,"Python, Accounting",AWS Certified,94,Research Scientist,"Bachelor's Psychology Python, Accounting AWS Certified"
Bachelor's,Psychology,Python,Tally ERP,84,Business Analyst,Bachelor's Psychology Python Tally ERP
Matric,Arts,"Accounting, Communication",,94,Software Engineer,
Master's,Commerce,"Python, Machine Learning",CFA Level 1,84,Business Analyst,"Master's Commerce Python, Machine Learning CFA Level 1"
Matric,Science,"Data Analysis, Python",Tally ERP,71,Research Scientist,"Matric Science Data Analysis, Python Tally ERP"
Master's,Engineering,Accounting,,63,ML Engineer,
Matric,Engineering,"Python, Financial Analysis",Mental Health Basics,83,Software Engineer,"Matric Engineering Python, Financial Analysis Mental Health Basics"
Master's,Computer Science,"Machine Learning, Communication",Creative Writing,72,ML Engineer,"Master's Computer Science Machine Learning, Communication Creative Writing"
